company,subject,date_only,email_body,rule_label,rule_confidence,final_label,sentiment_label,sentiment_compound,extracted_role,contact_person,contact_email,dates_mentioned,summary
Bain,Welcome to Bain!,2025-02-05,"Dear Micheal Gary Scott,

We are thrilled to welcome you to the Bain family! Your offer for the Analytics Engineer position has been accepted, and we're excited to have you join us.

Your onboarding details:
- Start date: February 22, 2025
- Orientation: First day at 9:00 AM
- Location: Main campus, Building A

Before your start date, please complete the following:
1. Sign all onboarding documents
2. Set up your benefits enrollment
3. Complete the I-9 verification

We look forward to seeing you on February 22, 2025!

Robert Kim
Onboarding Coordinator, Bain",acceptance,0.95,acceptance,positive,1.0,,,,"February 22, 2025; February 22, 2025","your offer for the analytics engineer position has been accepted, and we're excited to have you join us. complete the i-9 verification we look forward to seeing you on february 22, 2025!"
Datadog,Application received: Business Analyst at Datadog,2025-04-06,"Hi Micheal Gary Scott,

We've received your application for the Business Analyst position (Job ID: 678788) at Datadog. Thank you for your interest in joining our team!

Our hiring team is currently reviewing all applications. We'll be in touch if we'd like to move forward.

We appreciate your patience during this process.

Regards,
The Datadog Recruiting Team",in_process,0.85,in_process,neutral,0.0,Business Analyst,,,,"hi micheal gary scott, we've received your application for the business analyst position job id: 678788 at datadog. thank you for your interest in joining our team!"
KPMG,"Congratulations, Michael Gary Scott!",2025-01-17,"Dear Michael Gary Scott,

It gives me great pleasure to inform you that you have been selected as our new Product Analyst. Congratulations on this well-deserved achievement!

We were thoroughly impressed throughout the interview process and are confident that you will thrive at KPMG.

Your offer letter with full details is attached. Please don't hesitate to reach out with any questions.

Welcome aboard!

Best regards,
Rachel Thompson
Chief People Officer
KPMG",acceptance,0.95,acceptance,positive,1.0,,Rachel Thompson,,,congratulations on this well-deserved achievement! we were thoroughly impressed throughout the interview process and are confident that you will thrive at kpmg.
Salesforce,An update on your application,2025-04-28,"Hi Michael Gary Scott,

We wanted to follow up regarding your application for Cloud Engineer at Salesforce.

After reviewing all candidates, we have decided to move forward with other applicants for this particular role. We know this isn't the news you were hoping for, and we appreciate the effort you put into your application.

Please don't hesitate to apply for other positions at Salesforce in the future.

All the best,
Salesforce Recruiting",rejection,0.95,rejection,neutral,0.0,,Salesforce Recruiting,,,"hi michael gary scott, we wanted to follow up regarding your application for cloud engineer at salesforce. after reviewing all candidates, we have decided to move forward with other applicants for this particular role."
HubSpot,HubSpot Talent Community Newsletter,2025-04-20,"Hello Micheal Gary Scott,

Welcome to the HubSpot Talent Community monthly newsletter!

This month:
- Inside look: Life at HubSpot
- Employee spotlight: Meet our team
- Upcoming hiring events
- New blog: Career development tips

Stay connected and be the first to know about new opportunities.

Unsubscribe from this newsletter

HubSpot Employer Branding Team",unrelated,0.95,unrelated,positive,1.0,,,,,"hello micheal gary scott, welcome to the hubspot talent community monthly newsletter! this month: - inside look: life at hubspot - employee spotlight: meet our team - upcoming hiring events - new blog: career development tips stay connected and be the first to know about new opportunities."
ServiceNow,Thank you for applying to ServiceNow!,2025-01-28,"Dear Michael Gary Scott,

Thank you for applying to the Quantitative Analyst position at ServiceNow. We have received your application and our recruiting team will review your qualifications carefully.

If your background aligns with our requirements, a member of our team will reach out to discuss next steps. Please note that due to the high volume of applications, this process may take several weeks.

In the meantime, you can track your application status through our careers portal.

Best regards,
ServiceNow Talent Acquisition",in_process,0.95,in_process,neutral,0.0,Quantitative Analyst,,,,"we have received your application and our recruiting team will review your qualifications carefully. if your background aligns with our requirements, a member of our team will reach out to discuss next steps."
Airtable,Thank you for applying at Airtable,2025-01-29,"Michael Gary Scott, thank you for your interest in our Compliance Analyst role at Airtable! We have received your application and are delighted that you would consider joining our team.

We will review your background and experience and get back to you if there is a potential fit. Due to the volume of applications we receive, only selected candidates will be contacted.

Best wishes,
Airtable Hiring Team",in_process,0.95,in_process,positive,1.0,our Compliance Analyst,,,,"michael gary scott, thank you for your interest in our compliance analyst role at airtable! we have received your application and are delighted that you would consider joining our team."
Cerner,We received your application for Associate Consultant,2025-03-14,"Dear Michael Gary Scott,

Thank you for your interest in the Associate Consultant position at Cerner. We want to let you know that we have received your application materials.

Our recruiting team reviews every application thoroughly. We will be in contact with you regarding the status of your application.

Please do not reply to this automated message.

Sincerely,
Cerner Human Resources",in_process,0.85,in_process,neutral,0.0,Associate Consultant,,,,"dear michael gary scott, thank you for your interest in the associate consultant position at cerner. we want to let you know that we have received your application materials."
Nuro,Nuro - Your Offer of Employment,2025-04-23,"Hi Michael Gary Scott,

I'm delighted to inform you that you have been selected for the Data Scientist role at Nuro. Congratulations on your successful interview process!

The formal offer letter is attached to this email. Key highlights:
- Role: Data Scientist
- Start date: May 26, 2025
- Compensation: $95,000 base + bonus

Please review carefully and let me know if you have any questions. We'd appreciate your decision within one week.

Welcome to the team!

Daniel Wilson
Nuro",acceptance,0.95,acceptance,positive,1.0,Data Scientist,,,"May 26, 2025","hi michael gary scott, i'm delighted to inform you that you have been selected for the data scientist role at nuro. congratulations on your successful interview process!"
MongoDB,Action Needed: Clinical Data Analyst application at MongoDB,2025-01-16,"Hello Michael Gary Scott,

We are excited about your application for the Clinical Data Analyst position at MongoDB. Before we can proceed, we need you to complete a few items:

- Complete the technical assessment (estimated time: 60 minutes)
- Upload a copy of your most recent transcript
- Fill out the additional questionnaire

Please complete these steps by March 03, 2025 to remain in consideration.

Thank you for your time and interest!

MongoDB Recruiting Team",action_required,0.95,action_required,positive,1.0,Clinical Data Analyst,,,"March 03, 2025","hello michael gary scott, we are excited about your application for the clinical data analyst position at mongodb. before we can proceed, we need you to complete a few items: - complete the technical assessment estimated time: 60 minutes - upload a copy of your most recent transcript - fill out the additional questionnaire please complete these steps by march 03, 2025 to remain in consideration."
SpaceX,Application Status Update - Actuarial Analyst,2025-01-06,"Dear Michael Gary Scott,

Thank you for applying for the Actuarial Analyst position at SpaceX. At this time, we regret to inform you that we've decided not to move forward with your application.

As a growing organization we always have new positions available and therefore we encourage you to check our careers page regularly.

We appreciate your interest and wish you success in your job search.

Sincerely,
Recruitment Team
SpaceX",rejection,0.95,rejection,negative,-1.0,Actuarial Analyst,,,,"dear michael gary scott, thank you for applying for the actuarial analyst position at spacex. at this time, we regret to inform you that we've decided not to move forward with your application."
edX,Confirmation of application received for Associate Consultant - 765607,2025-03-11,"This notification was automatically generated.

Dear Micheal Gary Scott,

Thank you for applying to the role of 765607 - Associate Consultant at edX. We're excited that you're considering us as part of your career journey.

Your application is now under review. We strive to provide updates within 2-3 weeks.

Warm regards,
The Talent Team at edX",in_process,0.85,in_process,positive,1.0,,The Talent,,,"this notification was automatically generated. dear micheal gary scott, thank you for applying to the role of 765607 - associate consultant at edx."
Johnson & Johnson,Verify your email address,2025-03-23,"Hi Michael Gary Scott,

Please confirm your email address to complete your registration on Johnson & Johnson's career portal.

Click the button below to verify:
[Verify Email]

This link will expire in 24 hours.

If you did not create an account, please ignore this email.

Johnson & Johnson",unrelated,0.95,unrelated,neutral,0.0,,,,,"hi michael gary scott, please confirm your email address to complete your registration on johnson johnson's career portal. click the button below to verify: verify email this link will expire in 24 hours."
Figma,Screening call - Full Stack Developer at Figma,2025-01-20,"Hi Michael Gary Scott,

Thanks for your application to the Full Stack Developer position at Figma. Your profile caught our attention and we'd love to learn more about you.

I'd like to schedule a quick screening call to discuss your background and the opportunity. This would be a casual 20-minute conversation.

Are you free sometime this week?

Cheers,
Daniel Wilson
Talent Acquisition, Figma",interview,0.95,interview,positive,1.0,Full Stack Developer,,,,"hi michael gary scott, thanks for your application to the full stack developer position at figma. i'd like to schedule a quick screening call to discuss your background and the opportunity."
Fidelity,Thank you for applying at Fidelity,2025-02-08,"Michael Gary Scott, thank you for your interest in our Actuarial Analyst role at Fidelity! We have received your application and are delighted that you would consider joining our team.

We will review your background and experience and get back to you if there is a potential fit. Due to the volume of applications we receive, only selected candidates will be contacted.

Best wishes,
Fidelity Hiring Team",in_process,0.95,in_process,positive,1.0,our Actuarial Analyst,,,,"michael gary scott, thank you for your interest in our actuarial analyst role at fidelity! we have received your application and are delighted that you would consider joining our team."
Nike,Verify your email address,2025-01-28,"Hi Michael Gary Scott,

Please confirm your email address to complete your registration on Nike's career portal.

Click the button below to verify:
[Verify Email]

This link will expire in 24 hours.

If you did not create an account, please ignore this email.

Nike",unrelated,0.95,unrelated,neutral,0.0,,,,,"hi michael gary scott, please confirm your email address to complete your registration on nike's career portal. click the button below to verify: verify email this link will expire in 24 hours."
Lyft,An update on your application,2025-02-12,"Hi Michael Gary Scott,

We wanted to follow up regarding your application for Applied Scientist at Lyft.

After reviewing all candidates, we have decided to move forward with other applicants for this particular role. We know this isn't the news you were hoping for, and we appreciate the effort you put into your application.

Please don't hesitate to apply for other positions at Lyft in the future.

All the best,
Lyft Recruiting",rejection,0.95,rejection,neutral,0.0,,Lyft Recruiting,,,"hi michael gary scott, we wanted to follow up regarding your application for applied scientist at lyft. after reviewing all candidates, we have decided to move forward with other applicants for this particular role."
Nike,Congratulations! Offer for Research Scientist at Nike,2025-02-14,"Dear Micheal Gary Scott,

On behalf of Nike, I am pleased to extend an offer of employment for the position of Research Scientist.

We were truly impressed by your qualifications and believe you will be a great addition to our team. Please find the details of your offer below:

Position: Research Scientist
Start Date: May 06, 2025
Base Salary: $115,000 per year
Location: Hybrid

Please review the attached offer letter and respond within 5 business days.

Welcome aboard!

Amanda Davis
HR Director, Nike",acceptance,0.95,acceptance,positive,1.0,,,,"May 06, 2025","dear micheal gary scott, on behalf of nike, i am pleased to extend an offer of employment for the position of research scientist. please find the details of your offer below: position: research scientist start date: may 06, 2025 base salary: 115,000 per year location: hybrid please review the attached offer letter and respond within 5 business days."
Raytheon,Thank you for applying at Raytheon,2025-03-16,"Micheal Gary Scott, thank you for your interest in our Security Analyst role at Raytheon! We have received your application and are delighted that you would consider joining our team.

We will review your background and experience and get back to you if there is a potential fit. Due to the volume of applications we receive, only selected candidates will be contacted.

Best wishes,
Raytheon Hiring Team",in_process,0.95,in_process,positive,1.0,our Security Analyst,,,,"micheal gary scott, thank you for your interest in our security analyst role at raytheon! we have received your application and are delighted that you would consider joining our team."
Cohere,Action Needed: Full Stack Developer application at Cohere,2025-04-18,"Hello Micheal Gary Scott,

We are excited about your application for the Full Stack Developer position at Cohere. Before we can proceed, we need you to complete a few items:

- Complete the technical assessment (estimated time: 60 minutes)
- Upload a copy of your most recent transcript
- Fill out the additional questionnaire

Please complete these steps by April 18, 2025 to remain in consideration.

Thank you for your time and interest!

Cohere Recruiting Team",action_required,0.95,action_required,positive,1.0,Full Stack Developer,,,"April 18, 2025","hello micheal gary scott, we are excited about your application for the full stack developer position at cohere. before we can proceed, we need you to complete a few items: - complete the technical assessment estimated time: 60 minutes - upload a copy of your most recent transcript - fill out the additional questionnaire please complete these steps by april 18, 2025 to remain in consideration."
Midjourney,Application follow-up: Midjourney,2025-02-27,"Hi Michael Gary Scott,

Thank you for your interest in Midjourney! Unfortunately, we have decided not to proceed with your candidacy for the current Risk Analyst opening. We received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role.

This does not reflect on your qualifications, and we encourage you to apply again in the future.

Wishing you the best,
Ryan Allen
Midjourney",rejection,0.95,rejection,negative,-0.6667,,Ryan Allen,,,"unfortunately, we have decided not to proceed with your candidacy for the current risk analyst opening. we received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role."
LG,Update on your LG application,2025-01-04,"Dear Michael Gary Scott,

Thank you for your interest in the Senior Software Engineer position at LG and for taking the time to apply.

After careful consideration, we regret to inform you that we have decided not to move forward with your application at this time. We received many qualified applicants and this was a difficult decision.

We encourage you to apply for future openings that match your skills and experience. We wish you the best in your career search.

Sincerely,
LG Talent Acquisition",rejection,0.95,rejection,negative,-0.6667,Senior Software Engineer,,,,"dear michael gary scott, thank you for your interest in the senior software engineer position at lg and for taking the time to apply. after careful consideration, we regret to inform you that we have decided not to move forward with your application at this time."
Airbnb,Application follow-up: Airbnb,2025-03-07,"Hi Michael Gary Scott,

Thank you for your interest in Airbnb! Unfortunately, we have decided not to proceed with your candidacy for the current Investment Analyst opening. We received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role.

This does not reflect on your qualifications, and we encourage you to apply again in the future.

Wishing you the best,
Jessica Hall
Airbnb",rejection,0.95,rejection,negative,-0.6667,,Jessica Hall,,,"unfortunately, we have decided not to proceed with your candidacy for the current investment analyst opening. we received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role."
Deloitte,Update on your Deloitte application,2025-01-23,"Dear Micheal Gary Scott,

Thank you for your interest in the Machine Learning Engineer position at Deloitte and for taking the time to apply.

After careful consideration, we regret to inform you that we have decided not to move forward with your application at this time. We received many qualified applicants and this was a difficult decision.

We encourage you to apply for future openings that match your skills and experience. We wish you the best in your career search.

Sincerely,
Deloitte Talent Acquisition",rejection,0.95,rejection,negative,-0.6667,Machine Learning Engineer,,,,"dear micheal gary scott, thank you for your interest in the machine learning engineer position at deloitte and for taking the time to apply. after careful consideration, we regret to inform you that we have decided not to move forward with your application at this time."
Sony,Thank you for applying to Sony,2025-03-22,"Dear Michael Gary Scott,

Thank you very much for your recent application to the DevOps Engineer position at Sony.

Unfortunately, after careful review, we are unable to offer you a position at this time. We had many strong candidates apply and it was not an easy decision.

We genuinely appreciate your interest in Sony and hope you'll consider us for future opportunities.

Best regards,
Ryan Allen
Talent Acquisition, Sony",rejection,0.95,rejection,neutral,0.0,DevOps Engineer,Ryan Allen,,,"dear michael gary scott, thank you very much for your recent application to the devops engineer position at sony. unfortunately, after careful review, we are unable to offer you a position at this time."
Medtronic,Medtronic - Application Decision,2025-04-11,"Michael Gary Scott,

Thank you for your time and interest in the Solutions Architect role at Medtronic. After careful evaluation, we've decided not to proceed with your application. This was a competitive search and we had to make some tough choices.

Your resume will remain in our database for future consideration.

Regards,
Medtronic Talent Team",rejection,0.95,rejection,negative,-1.0,Solutions Architect,,,,"michael gary scott, thank you for your time and interest in the solutions architect role at medtronic. after careful evaluation, we've decided not to proceed with your application."
Pinterest,Complete Assessment - Pinterest Application,2025-02-18,"Dear Micheal Gary Scott,

You have been invited to complete an assessment for the Customer Success Manager position at Pinterest.

Assessment Type: Situational Judgment Test
Duration: Approximately 30 minutes
Deadline: January 17, 2025

This assessment helps us understand how you approach workplace scenarios. There are no right or wrong answers.

Click here to begin: [Assessment Link]

Best regards,
Pinterest People & Culture",action_required,0.85,action_required,neutral,0.0,Customer Success Manager,Pinterest People,,"January 17, 2025","dear micheal gary scott, you have been invited to complete an assessment for the customer success manager position at pinterest. assessment type: situational judgment test duration: approximately 30 minutes deadline: january 17, 2025 this assessment helps us understand how you approach workplace scenarios."
Databricks,Application received: Systems Analyst at Databricks,2025-03-25,"Hi Micheal Gary Scott,

We've received your application for the Systems Analyst position (Job ID: 340500) at Databricks. Thank you for your interest in joining our team!

Our hiring team is currently reviewing all applications. We'll be in touch if we'd like to move forward.

We appreciate your patience during this process.

Regards,
The Databricks Recruiting Team",in_process,0.85,in_process,neutral,0.0,Systems Analyst,,,,"hi micheal gary scott, we've received your application for the systems analyst position job id: 340500 at databricks. thank you for your interest in joining our team!"
Aurora,Congratulations! You've been selected for an interview at Aurora,2025-01-22,"Dear Micheal Gary Scott,

We are pleased to inform you that you have been shortlisted for the Associate Consultant position at Aurora.

We would like to invite you to participate in a virtual panel interview with members of our analytics team. The interview will consist of both technical and behavioral questions.

Please select a time slot that works for you using the calendar link below.

We look forward to meeting you!

Warm regards,
Laura White
Aurora People Operations",interview,0.95,interview,positive,1.0,Associate Consultant,Laura White,,,"dear micheal gary scott, we are pleased to inform you that you have been shortlisted for the associate consultant position at aurora. we would like to invite you to participate in a virtual panel interview with members of our analytics team."
CVS Health,Tips for your job search,2025-04-10,"Hi Michael Gary Scott,

Looking for your next opportunity? Here are this week's tips:

1. Tailor your resume for each application
2. Follow up within a week of applying
3. Practice common interview questions
4. Network with industry professionals

Explore open roles: [Browse Jobs]

Good luck!
Career Advice Team",in_process,0.3,in_process,positive,1.0,,,,,"hi michael gary scott, looking for your next opportunity? practice common interview questions 4."
Raytheon,Application follow-up: Raytheon,2025-01-10,"Hi Micheal Gary Scott,

Thank you for your interest in Raytheon! Unfortunately, we have decided not to proceed with your candidacy for the current Risk Analyst opening. We received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role.

This does not reflect on your qualifications, and we encourage you to apply again in the future.

Wishing you the best,
Rachel Thompson
Raytheon",rejection,0.95,rejection,negative,-0.6667,,Rachel Thompson,,,"unfortunately, we have decided not to proceed with your candidacy for the current risk analyst opening. we received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role."
Veeva Systems,Assessment invitation from Veeva Systems,2025-02-10,"Hi Micheal Gary Scott,

As part of the application process for Backend Engineer at Veeva Systems, we invite you to take our online assessment.

The assessment evaluates your analytical and problem-solving abilities. It should take about 45 minutes to complete.

Please complete it by January 19, 2025.

[Start Assessment]

Note: Once you begin, the timer will start and cannot be paused.

Thank you,
Veeva Systems",action_required,0.95,action_required,negative,-1.0,,,,"January 19, 2025","hi micheal gary scott, as part of the application process for backend engineer at veeva systems, we invite you to take our online assessment. the assessment evaluates your analytical and problem-solving abilities."
Intuitive Surgical,Risk Analyst at Intuitive Surgical: we've got your application,2025-02-06,"Hello Michael Gary Scott,

We've received your application for the Risk Analyst position at Intuitive Surgical. Thank you for taking the time to apply and for considering joining us.

First of all, our recruiters will take a close look at your resume and cover letter. If your qualifications are a good match for the role, you'll hear from us soon.

In the meantime, feel free to explore other opportunities on our careers page.

Best regards,
The Intuitive Surgical Talent Team",in_process,0.7,in_process,neutral,0.0,Risk Analyst,The Intuitive,,,"hello michael gary scott, we've received your application for the risk analyst position at intuitive surgical. thank you for taking the time to apply and for considering joining us."
Oracle,Tips for your job search,2025-03-16,"Hi Michael Gary Scott,

Looking for your next opportunity? Here are this week's tips:

1. Tailor your resume for each application
2. Follow up within a week of applying
3. Practice common interview questions
4. Network with industry professionals

Explore open roles: [Browse Jobs]

Good luck!
Career Advice Team",in_process,0.3,in_process,positive,1.0,,,,,"hi michael gary scott, looking for your next opportunity? practice common interview questions 4."
Sony,Interview Scheduled - Supply Chain Analyst at Sony,2025-03-02,"Hi Michael Gary Scott,

Your interview for the Supply Chain Analyst position at Sony has been scheduled.

Date: January 09, 2025
Time: 3:00 PM EST
Format: Video call (link will be sent separately)
Interviewer: Michelle Anderson
Duration: 60 minutes

Please confirm your attendance by replying to this email. If you need to reschedule, let us know at least 24 hours in advance.

Good luck!

Sony Recruiting Team",interview,0.85,interview,neutral,0.0,Supply Chain Analyst,,,"January 09, 2025","hi michael gary scott, your interview for the supply chain analyst position at sony has been scheduled. date: january 09, 2025 time: 3:00 pm est format: video call link will be sent separately interviewer: michelle anderson duration: 60 minutes please confirm your attendance by replying to this email."
Waters Corporation,Update: Your application for Analytics Engineer,2025-01-13,"Dear Micheal Gary Scott,

We have completed our review of applications for the Analytics Engineer position at Waters Corporation. We appreciate your interest in this opportunity.

Regrettably, we will not be moving forward with your candidacy. The position has been filled by another candidate.

We wish you all the best in your career endeavors and encourage you to monitor our openings for future roles.

Best,
Samantha Young
Waters Corporation",rejection,0.95,rejection,negative,-0.6667,Analytics Engineer,,,,"dear micheal gary scott, we have completed our review of applications for the analytics engineer position at waters corporation. regrettably, we will not be moving forward with your candidacy."
Robinhood,Assessment invitation from Robinhood,2025-04-19,"Hi Micheal Gary Scott,

As part of the application process for Product Manager at Robinhood, we invite you to take our online assessment.

The assessment evaluates your analytical and problem-solving abilities. It should take about 45 minutes to complete.

Please complete it by January 01, 2025.

[Start Assessment]

Note: Once you begin, the timer will start and cannot be paused.

Thank you,
Robinhood",action_required,0.95,action_required,negative,-1.0,,,,"January 01, 2025","hi micheal gary scott, as part of the application process for product manager at robinhood, we invite you to take our online assessment. the assessment evaluates your analytical and problem-solving abilities."
BCG,Thank you for applying at BCG,2025-04-21,"Michael Gary Scott, thank you for your interest in our Analytics Engineer role at BCG! We have received your application and are delighted that you would consider joining our team.

We will review your background and experience and get back to you if there is a potential fit. Due to the volume of applications we receive, only selected candidates will be contacted.

Best wishes,
BCG Hiring Team",in_process,0.95,in_process,positive,1.0,our Analytics Engineer,,,,"michael gary scott, thank you for your interest in our analytics engineer role at bcg! we have received your application and are delighted that you would consider joining our team."
Figma,Figma - Interview Request,2025-03-11,"Hello Michael Gary Scott,

Thank you for applying to Figma for our Product Analyst role. We've reviewed your qualifications and would like to set up a call to discuss the opportunity further.

Would you be available for a brief introductory call this week? The conversation would last about 20-30 minutes.

Please let me know what times work best for you.

Thanks,
Brian Harris
Figma",interview,0.95,interview,positive,1.0,Figma for our Product Analyst,,,,"hello michael gary scott, thank you for applying to figma for our product analyst role. we've reviewed your qualifications and would like to set up a call to discuss the opportunity further."
Charles Schwab,Application follow-up: Charles Schwab,2025-03-08,"Hi Michael Gary Scott,

Thank you for your interest in Charles Schwab! Unfortunately, we have decided not to proceed with your candidacy for the current UX Designer opening. We received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role.

This does not reflect on your qualifications, and we encourage you to apply again in the future.

Wishing you the best,
Emily Chen
Charles Schwab",rejection,0.95,rejection,negative,-0.6667,,Emily Chen,,,"unfortunately, we have decided not to proceed with your candidacy for the current ux designer opening. we received many qualified applicants and have decided to move ahead with other candidates whom we feel are a better match for this specific role."
Charles Schwab,Complete your profile on Charles Schwab,2025-02-03,"Hi Michael Gary Scott,

Your profile on Charles Schwab's talent network is only 60% complete. A complete profile increases your chances of being found by recruiters.

Add these to stand out:
- Work experience details
- Skills and certifications
- Portfolio links
- Profile photo

Update your profile now: [Link]

Charles Schwab Talent Community",action_required,0.7,unrelated,neutral,0.0,,,,,"hi michael gary scott, your profile on charles schwab's talent network is only 60 complete. a complete profile increases your chances of being found by recruiters."
Rivian,Congratulations! Offer for Research Scientist at Rivian,2025-01-23,"Dear Michael Gary Scott,

On behalf of Rivian, I am pleased to extend an offer of employment for the position of Research Scientist.

We were truly impressed by your qualifications and believe you will be a great addition to our team. Please find the details of your offer below:

Position: Research Scientist
Start Date: April 29, 2025
Base Salary: $125,000 per year
Location: Hybrid

Please review the attached offer letter and respond within 5 business days.

Welcome aboard!

Emily Chen
HR Director, Rivian",acceptance,0.95,acceptance,positive,1.0,,,,"April 29, 2025","dear michael gary scott, on behalf of rivian, i am pleased to extend an offer of employment for the position of research scientist. please find the details of your offer below: position: research scientist start date: april 29, 2025 base salary: 125,000 per year location: hybrid please review the attached offer letter and respond within 5 business days."
VMware,Confirmation of application received for Software Engineer - 931377,2025-02-28,"This notification was automatically generated.

Dear Micheal Gary Scott,

Thank you for applying to the role of 931377 - Software Engineer at VMware. We're excited that you're considering us as part of your career journey.

Your application is now under review. We strive to provide updates within 2-3 weeks.

Warm regards,
The Talent Team at VMware",in_process,0.85,in_process,positive,1.0,,The Talent,,,"this notification was automatically generated. dear micheal gary scott, thank you for applying to the role of 931377 - software engineer at vmware."
Moderna,Complete Assessment - Moderna Application,2025-05-01,"Dear Michael Gary Scott,

You have been invited to complete an assessment for the AI Engineer position at Moderna.

Assessment Type: Situational Judgment Test
Duration: Approximately 30 minutes
Deadline: January 26, 2025

This assessment helps us understand how you approach workplace scenarios. There are no right or wrong answers.

Click here to begin: [Assessment Link]

Best regards,
Moderna People & Culture",action_required,0.85,action_required,neutral,0.0,AI Engineer,Moderna People,,"January 26, 2025","dear michael gary scott, you have been invited to complete an assessment for the ai engineer position at moderna. assessment type: situational judgment test duration: approximately 30 minutes deadline: january 26, 2025 this assessment helps us understand how you approach workplace scenarios."
Airtable,Coding Challenge: Pricing Analyst - Airtable,2025-02-15,"Micheal Gary Scott,

We're impressed with your profile and would like to see your coding skills in action!

Please complete the following coding challenge for the Pricing Analyst role at Airtable:

Platform: CodeSignal
Duration: 70 minutes
Languages: Python, Java, or C++
Deadline: January 24, 2025

The challenge will test data structures, algorithms, and problem-solving skills.

Good luck!
Airtable Engineering Recruiting",action_required,0.95,action_required,positive,1.0,Pricing Analyst,,,"January 24, 2025","micheal gary scott, we're impressed with your profile and would like to see your coding skills in action! please complete the following coding challenge for the pricing analyst role at airtable: platform: codesignal duration: 70 minutes languages: python, java, or c deadline: january 24, 2025 the challenge will test data structures, algorithms, and problem-solving skills."
PayPal,Thank you for applying to PayPal,2025-01-17,"Dear Michael Gary Scott,

Thank you very much for your recent application to the Senior Software Engineer position at PayPal.

Unfortunately, after careful review, we are unable to offer you a position at this time. We had many strong candidates apply and it was not an easy decision.

We genuinely appreciate your interest in PayPal and hope you'll consider us for future opportunities.

Best regards,
Brian Harris
Talent Acquisition, PayPal",rejection,0.95,rejection,neutral,0.0,Senior Software Engineer,Brian Harris,,,"dear michael gary scott, thank you very much for your recent application to the senior software engineer position at paypal. unfortunately, after careful review, we are unable to offer you a position at this time."
Walmart,Offer Letter - Security Analyst at Walmart,2025-03-15,"Dear Micheal Gary Scott,

Congratulations! We are excited to extend you an offer to join Walmart as a Security Analyst.

Your start date is January 28, 2025. The compensation package includes:
- Base salary: $95,000
- Annual bonus target
- Full benefits package
- Stock options

Please sign and return the attached offer letter by the indicated deadline. If you have any questions about the offer or the onboarding process, don't hesitate to reach out.

We can't wait to have you on the team!

Best,
Michelle Anderson
Walmart People Team",acceptance,0.95,acceptance,positive,1.0,,,,"January 28, 2025","we are excited to extend you an offer to join walmart as a security analyst. the compensation package includes: - base salary: 95,000 - annual bonus target - full benefits package - stock options please sign and return the attached offer letter by the indicated deadline."
HashiCorp,Confirmation of application received for Operations Analyst - 715656,2025-03-08,"This notification was automatically generated.

Dear Michael Gary Scott,

Thank you for applying to the role of 715656 - Operations Analyst at HashiCorp. We're excited that you're considering us as part of your career journey.

Your application is now under review. We strive to provide updates within 2-3 weeks.

Warm regards,
The Talent Team at HashiCorp",in_process,0.85,in_process,positive,1.0,,The Talent,,,"this notification was automatically generated. dear michael gary scott, thank you for applying to the role of 715656 - operations analyst at hashicorp."
Northrop Grumman,Interview Invitation: Backend Engineer at Northrop Grumman,2025-01-26,"Dear Micheal Gary Scott,

Thank you for your interest in the Backend Engineer position at Northrop Grumman. We were impressed by your background and would like to invite you for an interview.

We'd like to schedule a video interview at your earliest convenience. Please reply to this email with your availability for the coming week, or use the scheduling link below to book a time slot.

The interview will be approximately 45-60 minutes and will be conducted by Rachel Thompson, our hiring manager.

We look forward to speaking with you!

Best regards,
Rachel Thompson
Northrop Grumman Talent Acquisition",interview,0.95,interview,positive,1.0,Backend Engineer,Rachel Thompson,,,we were impressed by your background and would like to invite you for an interview. we'd like to schedule a video interview at your earliest convenience.
American Express,Schedule your interview with American Express,2025-01-16,"Hi Micheal Gary Scott,

Great news! After reviewing your application for the Marketing Analyst role, we'd like to move forward with an interview.

Please use the following link to schedule your interview:
[Scheduling Link]

The phone screen will last approximately 30 minutes and will cover your background, experience, and interest in the role.

If you have any questions, feel free to reach out to me directly.

Best,
Ryan Allen
Recruiter, American Express",interview,0.95,interview,positive,1.0,Marketing Analyst,,,,"after reviewing your application for the marketing analyst role, we'd like to move forward with an interview. please use the following link to schedule your interview: scheduling link the phone screen will last approximately 30 minutes and will cover your background, experience, and interest in the role."
Samsung,Your weekly job digest,2025-04-18,"Hi Micheal Gary Scott,

Here's your weekly roundup of jobs based on your preferences:

Tesla - Investment Analyst
Duolingo - Research Scientist
Nike - Machine Learning Engineer
Databricks - Actuarial Analyst

See all recommendations on your dashboard.

To manage your notification preferences or unsubscribe, visit settings.

Best,
The Jobs Team",in_process,0.3,unrelated,neutral,0.0,,,,,"hi micheal gary scott, here's your weekly roundup of jobs based on your preferences: tesla - investment analyst duolingo - research scientist nike - machine learning engineer databricks - actuarial analyst see all recommendations on your dashboard. best, the jobs team"
